CMDLINE python server.py
MEM 1.957031 1411467647.0918
MEM 10.824219 1411467647.2093
MEM 10.824219 1411467647.3150
MEM 10.824219 1411467647.4211
MEM 10.824219 1411467647.5505
MEM 10.824219 1411467647.6724
MEM 10.824219 1411467647.7943
MEM 10.824219 1411467647.9154
MEM 10.824219 1411467648.0433
MEM 10.824219 1411467648.1569
MEM 10.824219 1411467648.2844
MEM 10.824219 1411467648.4052
MEM 10.824219 1411467648.5264
MEM 10.824219 1411467648.6492
MEM 10.824219 1411467648.7705
MEM 10.824219 1411467648.8913
MEM 10.824219 1411467649.0147
MEM 10.824219 1411467649.1367
MEM 10.824219 1411467649.2583
MEM 10.824219 1411467649.3842
MEM 10.824219 1411467649.5061
MEM 10.824219 1411467649.6270
MEM 10.824219 1411467649.7496
MEM 10.824219 1411467649.8705
MEM 10.824219 1411467649.9959
MEM 10.824219 1411467650.1178
MEM 10.824219 1411467650.2441
MEM 10.824219 1411467650.3674
MEM 10.824219 1411467650.4895
MEM 10.824219 1411467650.6108
MEM 10.824219 1411467650.7169
MEM 10.824219 1411467650.8380
MEM 10.824219 1411467650.9599
MEM 10.824219 1411467651.0819
MEM 10.824219 1411467651.2080
MEM 10.824219 1411467651.3235
MEM 10.824219 1411467651.4445
MEM 10.824219 1411467651.5680
MEM 10.824219 1411467651.6911
MEM 10.824219 1411467651.8110
MEM 10.824219 1411467651.9439
MEM 10.824219 1411467652.0660
MEM 10.824219 1411467652.1878
MEM 10.824219 1411467652.3134
MEM 10.824219 1411467652.4342
MEM 10.824219 1411467652.5571
MEM 10.824219 1411467652.6686
MEM 10.824219 1411467652.7926
MEM 10.824219 1411467652.9151
MEM 10.824219 1411467653.0355
MEM 10.824219 1411467653.1560
MEM 10.824219 1411467653.2781
MEM 10.824219 1411467653.3994
MEM 10.824219 1411467653.5208
MEM 10.824219 1411467653.6469
MEM 10.824219 1411467653.7698
MEM 10.824219 1411467653.8935
MEM 10.824219 1411467654.0246
MEM 10.824219 1411467654.1464
MEM 10.824219 1411467654.2564
MEM 10.824219 1411467654.3837
MEM 10.824219 1411467654.4951
MEM 10.824219 1411467654.6167
MEM 10.824219 1411467654.7374
MEM 10.824219 1411467654.8541
MEM 10.824219 1411467654.9788
MEM 10.824219 1411467655.1011
MEM 10.824219 1411467655.2379
MEM 10.824219 1411467655.3614
MEM 10.824219 1411467655.4957
MEM 10.824219 1411467655.6171
MEM 10.824219 1411467655.7557
MEM 10.824219 1411467655.8867
MEM 10.824219 1411467656.0073
MEM 10.824219 1411467656.1302
MEM 10.824219 1411467656.2597
MEM 10.824219 1411467656.3819
MEM 10.824219 1411467656.5034
MEM 10.824219 1411467656.6245
MEM 10.824219 1411467656.7492
MEM 10.824219 1411467656.8705
MEM 10.824219 1411467656.9783
MEM 10.824219 1411467657.0943
MEM 10.824219 1411467657.2163
MEM 10.824219 1411467657.3358
MEM 10.824219 1411467657.4666
MEM 10.824219 1411467657.5954
MEM 10.824219 1411467657.7164
MEM 10.824219 1411467657.8422
MEM 10.824219 1411467657.9651
MEM 10.824219 1411467658.1057
MEM 10.824219 1411467658.2267
MEM 10.824219 1411467658.3575
MEM 10.824219 1411467658.4706
MEM 10.824219 1411467658.5918
MEM 10.824219 1411467658.7208
MEM 10.824219 1411467658.8456
MEM 10.824219 1411467658.9662
MEM 10.824219 1411467659.0887
MEM 10.824219 1411467659.2320
MEM 10.824219 1411467659.3642
MEM 10.824219 1411467659.4863
MEM 10.824219 1411467659.6099
MEM 10.824219 1411467659.7230
MEM 10.824219 1411467659.8315
MEM 10.824219 1411467659.9605
MEM 10.824219 1411467660.0845
MEM 10.824219 1411467660.2072
MEM 10.824219 1411467660.3294
MEM 10.824219 1411467660.4504
MEM 10.824219 1411467660.6089
MEM 10.824219 1411467660.7302
MEM 10.824219 1411467660.8542
MEM 10.824219 1411467660.9674
MEM 10.824219 1411467661.0883
MEM 10.824219 1411467661.2096
MEM 10.824219 1411467661.3317
MEM 10.824219 1411467661.4550
MEM 10.824219 1411467661.5766
MEM 10.824219 1411467661.6995
MEM 10.824219 1411467661.8211
MEM 10.824219 1411467661.9506
MEM 10.824219 1411467662.0732
MEM 10.824219 1411467662.1941
MEM 10.824219 1411467662.3249
MEM 10.824219 1411467662.4682
MEM 10.824219 1411467662.5897
MEM 10.824219 1411467662.7109
MEM 10.824219 1411467662.8346
MEM 10.824219 1411467662.9596
MEM 10.824219 1411467663.0987
MEM 10.824219 1411467663.2328
MEM 10.824219 1411467663.3547
MEM 10.824219 1411467663.4795
MEM 10.824219 1411467663.6016
MEM 10.824219 1411467663.7219
MEM 10.824219 1411467663.8436
MEM 10.824219 1411467663.9588
MEM 10.824219 1411467664.1010
MEM 10.824219 1411467664.2473
MEM 10.824219 1411467664.3687
MEM 10.824219 1411467664.4855
MEM 10.824219 1411467664.6066
MEM 10.824219 1411467664.7278
MEM 10.824219 1411467664.8479
MEM 10.824219 1411467664.9695
MEM 10.824219 1411467665.0951
MEM 10.824219 1411467665.2203
MEM 10.824219 1411467665.3419
